GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tpFoyer-17,tn.esprit.tpfoyer17.services.impementations,UniversiteService,67,13,0,0,11,2,6,2,6,2
tpFoyer-17,tn.esprit.tpfoyer17.services.impementations,ChambreService,108,16,4,0,20,2,13,2,11,2
tpFoyer-17,tn.esprit.tpfoyer17.services.impementations,FoyerService,83,16,4,0,16,2,8,2,6,2
tpFoyer-17,tn.esprit.tpfoyer17.services.impementations,ReservationService,225,38,34,0,42,5,26,5,6,5
tpFoyer-17,tn.esprit.tpfoyer17.services.impementations,BlocService,41,10,0,0,8,2,7,2,7,2
tpFoyer-17,tn.esprit.tpfoyer17.services.impementations,EtudiantService,41,10,0,0,8,2,6,2,6,2
tpFoyer-17,tn.esprit.tpfoyer17.entities,Bloc,61,3,0,0,9,1,12,1,12,1
tpFoyer-17,tn.esprit.tpfoyer17.entities,Universite.UniversiteBuilder,45,0,0,0,1,0,7,0,7,0
tpFoyer-17,tn.esprit.tpfoyer17.entities,Universite,51,3,0,0,8,1,10,1,10,1
tpFoyer-17,tn.esprit.tpfoyer17.entities,Etudiant.EtudiantBuilder,63,0,0,0,1,0,9,0,9,0
tpFoyer-17,tn.esprit.tpfoyer17.entities,Foyer,61,3,0,0,9,1,12,1,12,1
tpFoyer-17,tn.esprit.tpfoyer17.entities,Chambre,39,25,0,0,7,3,10,3,10,3
tpFoyer-17,tn.esprit.tpfoyer17.entities,Reservation.ReservationBuilder,10,35,0,0,0,1,1,6,1,6
tpFoyer-17,tn.esprit.tpfoyer17.entities,Etudiant,71,7,0,0,9,2,13,2,13,2
tpFoyer-17,tn.esprit.tpfoyer17.entities,Chambre.ChambreBuilder,22,32,0,0,0,1,3,5,3,5
tpFoyer-17,tn.esprit.tpfoyer17.entities,Foyer.FoyerBuilder,54,0,0,0,1,0,8,0,8,0
tpFoyer-17,tn.esprit.tpfoyer17.entities,Bloc.BlocBuilder,54,0,0,0,1,0,8,0,8,0
tpFoyer-17,tn.esprit.tpfoyer17.entities,Reservation,26,32,0,0,3,6,6,6,6,6
tpFoyer-17,tn.esprit.tpfoyer17,TpFoyer17Application,5,3,0,0,2,1,1,1,1,1
tpFoyer-17,tn.esprit.tpfoyer17.controllers,ChambreController,52,10,0,0,10,2,10,2,10,2
tpFoyer-17,tn.esprit.tpfoyer17.controllers,BlocController,34,10,0,0,8,2,7,2,7,2
tpFoyer-17,tn.esprit.tpfoyer17.controllers,ReservationController,37,10,0,0,7,2,7,2,7,2
tpFoyer-17,tn.esprit.tpfoyer17.controllers,EtudiantController,28,10,0,0,7,2,6,2,6,2
tpFoyer-17,tn.esprit.tpfoyer17.controllers,UniversiteController,30,10,0,0,6,2,6,2,6,2
tpFoyer-17,tn.esprit.tpfoyer17.controllers,FoyerController,30,10,0,0,7,2,6,2,6,2
tpFoyer-17,tn.esprit.tpfoyer17.configurations,SpringDocConfig,0,145,0,0,0,38,0,10,0,10
tpFoyer-17,tn.esprit.tpfoyer17.entities.enumerations,TypeChambre,0,21,0,0,0,4,0,1,0,1
